ct,st,mA,mV,mW,us
0,0,0.1,904,0,3813
1,0,0.1,900,0,4569
2,0,0,904,0,2285
3,0,0.1,896,0,3382
4,0,0.2,904,0.1,3510
5,0,0.1,900,0,4258
6,0,0.1,904,0,2454
7,0,0,900,0,6716
8,0,0,904,0,33157
9,0,0,900,0,41689
10,0,0.2,904,0.1,3620
11,0,0.1,900,0,3367
12,0,0.1,904,0,2471
13,0,0.1,900,0,5358
14,0,0.1,904,0,3074
15,0,0.1,900,0,670640
16,0,0.1,908,0,8045
17,0,0.1,896,0,5397
18,0,0.1,900,0,5157
19,0,0.1,904,0,5021
20,0,0.2,900,0.1,766181
21,0,0.1,900,0,5329
22,0,0.1,904,0,2249
23,0,0.1,904,0,2655
24,0,0.1,900,0,2948
25,0,0.1,904,0,7633
26,0,0.1,900,0,4232
27,0,0,900,0,3215
28,0,0,900,0,2392
29,0,0.1,904,0,2244
30,0,0.1,904,0,2706
31,0,0.2,904,0.1,2395
32,0,0.1,900,0,3695
33,0,0.1,904,0,4773
34,0,0.1,900,0,2352
35,0,0.1,900,0,2473
36,0,0.1,904,0,5280
37,0,0.1,904,0,6862
38,0,0,900,0,5154
39,0,0.2,900,0.1,9479
40,0,0.2,904,0.1,3606
41,0,0.1,900,0,2346
42,0,0.1,900,0,2627
43,0,0.1,904,0,4910
44,0,0.1,904,0,5243
45,0,0.1,896,0,3299
46,0,0.1,900,0,2445
47,0,0.1,904,0,8862
48,0,0.1,904,0,2231
49,0,0.1,900,0,2796
50,0,0.1,904,0,2512
51,0,0.1,904,0,5293
52,0,0.1,904,0,3581
53,0,0.1,900,0,3395
54,0,0.2,904,0.1,5488
55,0,0.1,900,0,3907
56,0,0.1,904,0,5898
57,0,0.1,900,0,7643
58,0,0.1,904,0,3476
59,0,0.1,900,0,5394
60,0,0.1,904,0,4210
61,0,0.1,900,0,8219
62,0,0.1,904,0,3553
63,0,0.2,900,0.1,3709
64,0,0.2,904,0.1,3960
65,0,0.1,900,0,3932
66,0,0,904,0,691578
67,0,0.1,900,0,2547
68,0,0.2,900,0.1,746966
69,0,0.1,904,0,6929
70,0,0.1,900,0,5488
71,0,0.1,900,0,2636
72,0,0.1,904,0,2439
73,0,0.1,904,0,3514
74,0,0.1,904,0,8180
75,0,0,904,0,3624
76,0,0.1,900,0,5000
77,0,0.2,896,0.1,2422
78,0,0.1,904,0,691339
79,0,0.2,900,0.1,5022
80,0,0,904,0,5137
81,0,0.1,900,0,8254
82,0,0.1,896,0,3135
83,0,0.2,896,0.1,2403
84,0,0.1,904,0,2504
85,0,0.2,904,0.1,4334
86,0,0.1,896,0,3394
87,0,0.2,896,0.1,3830
88,0,0.1,900,0,2609
89,0,0.1,900,0,5771
90,0,0.1,900,0,2533
91,0,0.1,900,0,2266
92,0,0.1,900,0,4346
93,0,0.1,904,0,2343
94,0,0,900,0,2696
95,0,0,896,0,3076
96,0,0.1,900,0,3764
97,0,0.2,904,0.1,3112
98,0,0.1,900,0,2517
99,0,0.2,896,0.1,2287
